routenummer,bezoekdatum,soort,wetenschappelijke naam,sectie,aantal
2096,28-04-15 15:00,NVT,,0,0
2096,07-05-15 16:45,NVT,,0,0
2096,11-05-15 13:25,NVT,,0,0
2096,22-05-15 14:25,groot koolwitje,Pieris brassicae,6,1
2096,26-05-15 16:35,NVT,,0,0
2096,04-06-15 15:20,NVT,,0,0
2096,05-06-15 10:25,NVT,,0,0
2096,12-06-15 14:20,NVT,,0,0
2096,25-06-15 14:15,NVT,,0,0
2096,29-06-15 16:20,groot koolwitje,Pieris brassicae,3,1
2096,29-06-15 16:20,groot koolwitje,Pieris brassicae,6,1
2096,29-06-15 16:20,atalanta,Vanessa atalanta,5,1
2096,06-07-15 16:15,NVT,,0,0
2096,21-07-15 13:55,atalanta,Vanessa atalanta,1,2
2096,21-07-15 13:55,distelvlinder,Vanessa cardui,6,5
2096,21-07-15 13:55,dagpauwoog,Aglais io,1,2
2096,21-07-15 13:55,dagpauwoog,Aglais io,6,5
2096,29-07-15 15:10,NVT,,0,0
2096,06-08-15 16:45,groot koolwitje,Pieris brassicae,6,1
2096,06-08-15 16:45,atalanta,Vanessa atalanta,6,1
2096,06-08-15 16:45,dagpauwoog,Aglais io,6,2
2096,06-08-15 16:45,distelvlinder,Vanessa cardui,6,1
2096,06-08-15 16:45,kleine vos,Aglais urticae,1,1
2096,06-08-15 16:45,kleine vos,Aglais urticae,6,1
2096,10-08-15 14:20,atalanta,Vanessa atalanta,1,4
2096,10-08-15 14:20,distelvlinder,Vanessa cardui,1,1
2096,10-08-15 14:20,groot koolwitje,Pieris brassicae,1,1
2096,10-08-15 14:20,kleine vos,Aglais urticae,1,2
2096,10-08-15 14:20,dagpauwoog,Aglais io,6,1
2096,10-08-15 14:20,distelvlinder,Vanessa cardui,6,1
2096,10-08-15 14:20,groot koolwitje,Pieris brassicae,3,1
2096,10-08-15 14:20,groot koolwitje,Pieris brassicae,6,1
2096,10-08-15 14:20,bont zandoogje,Pararge aegeria,1,1
2096,10-08-15 14:20,citroenvlinder,Gonepteryx rhamni,6,1
2096,20-08-15 17:05,distelvlinder,Vanessa cardui,6,1
2096,20-08-15 17:05,groot koolwitje,Pieris brassicae,1,1
2096,20-08-15 17:05,groot koolwitje,Pieris brassicae,6,1
2096,20-08-15 17:05,kleine vos,Aglais urticae,6,1
2096,29-08-15 14:45,atalanta,Vanessa atalanta,6,1
2096,29-08-15 14:45,kleine vos,Aglais urticae,6,1
2096,09-09-15 13:15,NVT,,0,0
2096,20-09-15 15:55,NVT,,0,0
2096,28-09-15 15:15,groot koolwitje,Pieris brassicae,6,1
2096,02-04-17 14:46,NVT,,0,0
2096,04-04-17 15:50,NVT,,0,0
2096,20-04-17 15:40,NVT,,0,0
2096,29-04-17 14:55,NVT,,0,0
2096,06-05-17 11:25,klein koolwitje,Pieris rapae,1,1
2096,11-05-17 12:20,NVT,,0,0
2096,11-05-17 13:40,klein koolwitje,Pieris rapae,1,1
2096,16-05-17 16:10,NVT,,0,0
2096,22-05-17 15:05,NVT,,0,0
2096,31-05-17 15:00,NVT,,0,0
2096,05-06-17 11:15,NVT,,0,0
2096,11-06-17 11:30,NVT,,0,0
2096,17-06-17 14:30,NVT,,0,0
2096,19-06-17 16:30,NVT,,0,0
2096,25-06-17 14:00,NVT,,0,0
2096,26-06-17 14:05,klein koolwitje,Pieris rapae,3,1
2096,09-07-17 14:50,atalanta,Vanessa atalanta,6,2
2096,17-07-17 15:30,atalanta,Vanessa atalanta,1,2
2096,17-07-17 15:30,atalanta,Vanessa atalanta,2,1
2096,17-07-17 15:30,dagpauwoog,Aglais io,1,1
2096,17-07-17 15:30,dagpauwoog,Aglais io,6,6
2096,21-07-17 15:50,atalanta,Vanessa atalanta,1,1
2096,21-07-17 15:50,distelvlinder,Vanessa cardui,1,2
2096,21-07-17 15:50,kleine vos,Aglais urticae,1,1
2096,21-07-17 15:50,citroenvlinder,Gonepteryx rhamni,1,2
2096,21-07-17 15:50,dagpauwoog,Aglais io,6,1
2096,21-07-17 15:50,distelvlinder,Vanessa cardui,6,1
2096,21-07-17 10:10,atalanta,Vanessa atalanta,1,1
2096,21-07-17 10:10,distelvlinder,Vanessa cardui,1,3
2096,28-07-17 14:10,atalanta,Vanessa atalanta,1,3
2096,28-07-17 14:10,atalanta,Vanessa atalanta,6,1
2096,28-07-17 14:10,distelvlinder,Vanessa cardui,1,1
2096,31-07-17 14:45,atalanta,Vanessa atalanta,1,2
2096,31-07-17 14:45,distelvlinder,Vanessa cardui,1,1
2096,31-07-17 14:45,groot koolwitje,Pieris brassicae,1,1
2096,31-07-17 14:45,kleine vos,Aglais urticae,6,1
2096,04-08-17 14:10,atalanta,Vanessa atalanta,1,1
2096,09-08-17 15:50,atalanta,Vanessa atalanta,1,1
2096,09-08-17 15:50,bont zandoogje,Pararge aegeria,1,1
2096,09-08-17 15:50,groot koolwitje,Pieris brassicae,6,1
2096,13-08-17 16:00,atalanta,Vanessa atalanta,1,1
2096,13-08-17 16:00,kleine vos,Aglais urticae,6,1
2096,23-08-17 14:35,atalanta,Vanessa atalanta,6,1
2096,23-08-17 14:35,distelvlinder,Vanessa cardui,6,1
2096,23-08-17 14:35,groot koolwitje,Pieris brassicae,6,1
2096,03-09-17 14:15,NVT,,0,0
2096,19-09-17 13:55,NVT,,0,0
2096,07-04-18 12:20,NVT,,0,0
2096,08-04-18 12:10,NVT,,0,0
2096,18-04-18 15:50,NVT,,0,0
2096,21-04-18 13:00,groot koolwitje,Pieris brassicae,3,1
2096,21-04-18 13:00,klein koolwitje,Pieris rapae,6,1
2096,22-04-18 10:50,NVT,,0,0
2096,04-05-18 13:45,NVT,,0,0
2096,12-05-18 12:54,NVT,,0,0
2096,14-05-18 14:05,NVT,,0,0
2096,14-05-18 15:55,NVT,,0,0
2096,22-05-18 15:15,NVT,,0,0
2096,22-05-18 13:29,NVT,,0,0
2096,26-05-18 12:30,bont zandoogje,Pararge aegeria,4,1
2096,26-05-18 15:45,NVT,,0,0
2096,29-05-18 10:45,NVT,,0,0
2096,03-06-18 15:30,NVT,,0,0
2096,05-06-18 16:10,NVT,,0,0
2096,09-06-18 14:10,klein koolwitje,Pieris rapae,1,1
2096,10-06-18 12:55,NVT,,0,0
2096,20-06-18 15:20,NVT,,0,0
2096,02-07-18 16:35,citroenvlinder,Gonepteryx rhamni,1,2
2096,02-07-18 16:35,dagpauwoog,Aglais io,1,6
2096,02-07-18 16:35,dagpauwoog,Aglais io,6,6
2096,02-07-18 16:35,distelvlinder,Vanessa cardui,1,2
2096,02-07-18 16:35,groot koolwitje,Pieris brassicae,6,3
2096,07-07-18 14:25,dagpauwoog,Aglais io,1,8
2096,07-07-18 14:25,dagpauwoog,Aglais io,6,8
2096,07-07-18 14:25,groot koolwitje,Pieris brassicae,6,6
2096,07-07-18 14:25,klein koolwitje,Pieris rapae,1,2
2096,12-07-18 13:18,atalanta,Vanessa atalanta,1,1
